0.0e+0 1.4877437225688572e-1
1.3908205841446453e-3 1.5984928478442995e-1
2.7816411682892906e-3 1.7092419731197417e-1
4.172461752433936e-3 1.8199910983951811e-1
5.563282336578581e-3 1.9307402236706228e-1
6.954102920723227e-3 2.041489348946065e-1
8.344923504867872e-3 2.1522384742215017e-1
9.735744089012517e-3 2.262987599496944e-1
1.1126564673157162e-2 2.373736724772384e-1
1.2517385257301807e-2 2.4844858500478223e-1
1.3908205841446454e-2 2.5952349753232656e-1
1.5299026425591099e-2 2.705984100598705e-1
1.6689847009735744e-2 2.8167332258741484e-1
1.808066759388039e-2 2.9274823511495884e-1
1.9471488178025034e-2 3.0382314764250273e-1
2.086230876216968e-2 3.148980601700471e-1
2.2253129346314324e-2 3.260124868906673e-1
2.364394993045897e-2 3.3728120025457065e-1
2.5034770514603615e-2 3.4854991361847376e-1
2.642559109874826e-2 3.598186269823769e-1
2.7816411682892908e-2 3.710873403462802e-1
2.920723226703755e-2 3.823560537101832e-1
3.0598052851182198e-2 3.93624767074087e-1
3.1988873435326845e-2 4.074676907751512e-1
3.337969401947149e-2 4.218827120832783e-1
3.477051460361613e-2 4.362977333914053e-1
3.616133518776078e-2 4.507127546995323e-1
3.7552155771905425e-2 4.655750558897508e-1
3.894297635605007e-2 4.804578208400536e-1
4.033379694019471e-2 4.953405857903571e-1
4.172461752433936e-2 5.102554456892444e-1
4.3115438108484005e-2 5.264330929137928e-1
4.450625869262865e-2 5.44516301776955e-1
4.58970792767733e-2 5.625995106401164e-1
4.728789986091794e-2 5.80682719503278e-1
4.8678720445062586e-2 5.987659283664389e-1
5.006954102920723e-2 6.168491372296011e-1
5.146036161335188e-2 6.345862081740244e-1
5.285118219749652e-2 6.502111407532032e-1
5.4242002781641166e-2 6.660837400508506e-1
5.5632823365785816e-2 6.833514351264202e-1
5.702364394993046e-2 6.989012756467976e-1
5.84144645340751e-2 7.11105819263055e-1
5.9805285118219746e-2 7.230544168904908e-1
6.1196105702364396e-2 7.342656208029689e-1
6.258692628650904e-2 7.454768247154465e-1
6.397774687065369e-2 7.566880286279243e-1
6.536856745479833e-2 7.678992325404022e-1
6.675938803894298e-2 7.791104364528799e-1
6.815020862308763e-2 7.903216403653575e-1
6.954102920723226e-2 8.015328442778358e-1
7.093184979137691e-2 8.127440481903133e-1
7.232267037552156e-2 8.23955252102791e-1
7.37134909596662e-2 8.351664560152688e-1
7.510431154381085e-2 8.463776599277465e-1
7.649513212795549e-2 8.575888638402241e-1
7.788595271210014e-2 8.68800067752702e-1
7.927677329624479e-2 8.778436144475678e-1
8.066759388038942e-2 8.859230094855203e-1
8.205841446453407e-2 8.940024045234726e-1
8.344923504867872e-2 9.029925695875362e-1
8.484005563282336e-2 9.120575389225484e-1
8.623087621696801e-2 9.21122508257561e-1
8.762169680111266e-2 9.301874775925733e-1
8.90125173852573e-2 9.387002704366173e-1
9.040333796940195e-2 9.466233802787513e-1
9.17941585535466e-2 9.545464901208852e-1
9.318497913769123e-2 9.624695999630196e-1
9.457579972183588e-2 9.703927098051536e-1
9.596662030598054e-2 9.783158196472875e-1
9.735744089012517e-2 9.862389294894217e-1
9.874826147426982e-2 9.942950192976828e-1
1.0013908205841446e-1 1.000622666368486e+0
1.0152990264255911e-1 1.0069503134392876e+0
1.0292072322670376e-1 1.0132779605100888e+0
1.043115438108484e-1 1.0196056075808917e+0
1.0570236439499305e-1 1.0259332546516937e+0
1.070931849791377e-1 1.0322609017224957e+0
1.0848400556328233e-1 1.0385885487932973e+0
1.0987482614742698e-1 1.0396633888004145e+0
1.1126564673157163e-1 1.0384516947415703e+0
1.1265646731571627e-1 1.036567512221616e+0
1.1404728789986092e-1 1.0346833297016604e+0
1.1543810848400557e-1 1.0327991471817057e+0
1.168289290681502e-1 1.0309149646617501e+0
1.1821974965229486e-1 1.029030782141795e+0
1.1961057023643949e-1 1.0271465996218403e+0
1.2100139082058414e-1 1.0252624171018851e+0
1.2239221140472879e-1 1.02337823458193e+0
1.2378303198887343e-1 1.0214940520619749e+0
1.2517385257301808e-1 1.0196098695420197e+0
1.2656467315716272e-1 1.017725687022065e+0
1.2795549374130738e-1 1.0158415045021099e+0
1.2934631432545202e-1 1.0139573219821552e+0
1.3073713490959665e-1 1.0120731394622e+0
1.3212795549374132e-1 1.0101889569422449e+0
1.3351877607788595e-1 1.0083047744222897e+0
1.349095966620306e-1 1.0064205919023346e+0
1.3630041724617525e-1 1.004536409382379e+0
1.376912378303199e-1 1.0026522268624247e+0
1.3908205841446453e-1 1.0007680443424696e+0
1.404728789986092e-1 9.988838618225143e-1
1.4186369958275383e-1 9.969996793025594e-1
1.4325452016689846e-1 9.951154967826042e-1
1.4464534075104313e-1 9.932313142626495e-1
1.4603616133518776e-1 9.913471317426944e-1
1.474269819193324e-1 9.894629492227393e-1
1.4881780250347706e-1 9.875787667027839e-1
1.502086230876217e-1 9.856945841828287e-1
1.5159944367176634e-1 9.838104016628738e-1
1.5299026425591097e-1 9.823351727592137e-1
1.5438108484005564e-1 9.811806092037733e-1
1.5577190542420027e-1 9.800260456483335e-1
1.571627260083449e-1 9.788796811668309e-1
1.5855354659248957e-1 9.777470737029114e-1
1.599443671766342e-1 9.766144662389923e-1
1.6133518776077885e-1 9.754818587750732e-1
1.627260083449235e-1 9.733608544250253e-1
1.6411682892906815e-1 9.711259954325219e-1
1.6550764951321278e-1 9.688911364400191e-1
1.6689847009735745e-1 9.665587361619609e-1
1.6828929068150209e-1 9.641866812042149e-1
1.6968011126564672e-1 9.618146262464707e-1
1.7107093184979139e-1 9.594425712887246e-1
1.7246175243393602e-1 9.570705163309791e-1
1.7385257301808066e-1 9.546984613732342e-1
1.7524339360222532e-1 9.519159551834867e-1
1.7663421418636996e-1 9.446986956461859e-1
1.780250347705146e-1 9.324871135809057e-1
1.7941585535465926e-1 9.202755315156247e-1
1.808066759388039e-1 9.080639494503439e-1
1.8219749652294853e-1 8.958523673850635e-1
1.835883171070932e-1 8.836407853197822e-1
1.8497913769123783e-1 8.685020763886376e-1
1.8636995827538247e-1 8.514761319173482e-1
1.8776077885952713e-1 8.344501874460567e-1
1.8915159944367177e-1 8.174242429747661e-1
1.905424200278164e-1 8.003982985034755e-1
1.9193324061196107e-1 7.833723540321845e-1
1.933240611961057e-1 7.663464095608943e-1
1.9471488178025034e-1 7.493204650896041e-1
1.9610570236439498e-1 7.322945206183138e-1
1.9749652294853964e-1 7.152685761470229e-1
1.9888734353268428e-1 6.982426316757326e-1
2.0027816411682892e-1 6.812166872044422e-1
2.0166898470097358e-1 6.641907427331513e-1
2.0305980528511822e-1 6.471647982618606e-1
2.0445062586926285e-1 6.303168435486441e-1
2.0584144645340752e-1 6.135204483392437e-1
2.0723226703755215e-1 5.967240531298428e-1
2.086230876216968e-1 5.799276579204422e-1
2.1001390820584145e-1 5.631312627110416e-1
2.114047287899861e-1 5.463530201780469e-1
2.1279554937413073e-1 5.296303330512835e-1
2.141863699582754e-1 5.129076459245193e-1
2.1557719054242003e-1 4.961849587977547e-1
2.1696801112656466e-1 4.794622716709913e-1
2.1835883171070933e-1 4.6273958454422703e-1
2.1974965229485396e-1 4.4616071525395873e-1
2.211404728789986e-1 4.2989178090669766e-1
2.2253129346314326e-1 4.136228465594364e-1
2.239221140472879e-1 3.973539122121751e-1
2.2531293463143254e-1 3.8108497786491424e-1
2.267037552155772e-1 3.6481604351765273e-1
2.2809457579972184e-1 3.4854710917039144e-1
2.2948539638386647e-1 3.322781748231304e-1
2.3087621696801114e-1 3.160092404758694e-1
2.3226703755215578e-1 2.997403061286075e-1
